序号,地区,评论
0,河南省,"

                        补充： 虽然我很久之前就知道豆瓣是一个评分的地方，但是也不代表着每个人都需要有豆瓣账号吧？因为一部电影/电视剧看不下去来注册账号不是很正常的嘛 总要有一个契机吧 难道大家都是生来就是豆瓣人？搞不懂为什么还有人在这种事情上抬杠 还有说我显摆知识的。。你不知道地球是...

                         "
1,广东省,"昨天我刚和我的弟弟妹妹一起去电影院看了《温暖的抱抱》。首先声明我不是专业的影评人士，我只是站在一个普通人的视角来看待这部电影。 我看到那场观影率大概是80%，大家基本是在一起笑，不管怎么样，作为喜剧让大家开心地笑出声这个点它达到了。这部剧不管是从演员演技还是从...

                         "
2,上海市,"

                        电影里机关枪杀人你知道是假的 男女一个被窝睡觉你知道是假的 看哈利波特伏地魔你知道是假的 到常远这怎么都是真的呢？ ——以上为讲道理 ——以下内容含有大量脏话等引起不适内容请选择阅读* 看了好多影评，给我的感觉就是矫情又挑剔，还挑不对地方多少沾点低能 没看内容的观...

                         "
3,上海市,"

                        Ps:各位觉得电影好看的，可以和而不同，但是请不用打开，没有必要争论，给彼此添堵，保留自己的意见。另外，欢迎觉得巨尴尬的进来吐槽👻🤣 ---------------分割线----------- 这绝逼是我今年看过的最最最难看的电影，没有一个笑点，真的很尬。烂俗的谐音梗，情节尴尬，情绪...

                         "
4,河南省,"作为烂片专业户的我专门跑去看了电影。 先说点优点吧，毕竟没多少。其实一开始的设定包括剧情节奏都还不错，不过设定这个东西反而和煽情部分有些冲突，这个后面再说。 然后就是电影里歌不知道为啥居然还挺好听的，这里稍微吐槽下，故事主线就是去参加原创比赛，但这部电影非原...

                         "
5,广东省,"

                        优点： 1.有几首歌还算能听。 2.灵车和崩屁爆炸那两段有点好笑。 缺点： 1.我理解的高级喜剧是自带喜感的演员在最平凡的生活里因为偶尔异于常人的言行引人爆笑，这样的设计不留痕迹，所以你被代入情境后因为那种意外的刺激会更抑制不住笑意，但也因为要不留痕迹，这样的设计更...

                         "
6,河北省,"第一，这是一部喜剧片，而喜剧片的最重要一点，是情节搞笑，也就是说，只要观众看了这部剧，它使你开心，就说明这部剧是成功了的。第二，我们应该尊重每个新作导演或演员的劳动和汗水。 可能很多人说的对，这确实是一部烂片，演技不好，演员演戏很尬，但我们要知道，看一部电影...

                         "
7,黑龙江省,"刚看了豆瓣的简介，明白了这是韩国电影改编的，怪不得。。。 全剧看前期待值很高，毕竟是作为贺岁还有开心麻花的团队出演，结果。。。伤心。。。看完没有发现笑点。。。只是影院旁边的小朋友笑的乐呵呵。。。而我内心OS： what？？？为什么要笑？？ 李沁真的好看，一直在想，这...

                         "
8,吉林省,"长评同于短评。依旧是二分。 想多bb点什么就是想真实的作为一个观众立场浅谈什么才是合格的喜剧。 首先我对导演常远演员常远没有任何的偏见，反而同于沈腾马丽艾伦乔杉魏翔王宁等等等等一样，我是抱有很大好感的。因为我一直认为作为演员并不应该全是只为了在镜头前或舞台上展...

                         "
9,山西省,"本片的男女主人公分别叫鲍抱和宋温暖。这么刻意的谐音梗其实是烂片的指示，但当时的我闲极无聊，也就看了。 鲍抱有强迫症，衣服和房间纤尘不染，物品摆放整齐划一，做事情准时准点。他最害怕的是肢体接触，尽管内心深处渴望一个温暖的拥抱。他是个钢琴老师，因为他的强迫行为，...

                         "
