序号,地区,评论
0,广西壮族自治区,"

                        《困在时间里的父亲》并非悬疑片，但其中却有不少暗藏的线索值得留意。这部电影在某种程度上让我想起《生死停留》，两者都通过主人公的视角构建一个幻象，再一点点击碎这个幻象，让真相浮出水面。两部片子都利用不可靠的叙述者——逐渐失去意识的濒死者 / 阿兹海默症患者，设计...

                         "
1,上海市,"

                        [视频] 2021年的3月26号由美国新晋流媒体HULU放出，也是国内高阶影迷圈最具热议度的影片，The father，中文译名，《困在时间里的父亲》。这部影片已经拿下2021年奥斯卡最佳影片、最佳男主、最佳女配）在内的6个重要奖项的提名。影片是2020年的1月份在美国圣丹斯电影节首映，圣...

                         "
2,河南省,"

                        纪念在纽约看到的第一部电影。尽一份小小的心意希望电影院能撑下去。期待纽约电影节。 看完电影我是被恐惧包裹着离开电影院的。不知道安东尼做过多少功课，他的表现力把我活生生拽回了那段我不是很想要回忆起的日子。我的第一份工作，在一个叫institution, home, nursning home...

                         "
3,湖北省,"

                        文字较长，自己整理浓缩了一个讲解视频，有兴趣可以看看：【《困在时间里的父亲》解析|记忆、时间、空间交错的故事艺术-哔哩哔哩】https://b23.tv/69vs00 01. 完整故事解析 场景_序： 安妮前往有记忆问题的父亲家，她因为与保罗恋爱要出国到巴黎不能照顾父亲，劝父亲接受家里安...

                         "
4,浙江省,"

                        球球了，不要再称它为惊悚片了，正是因为太真实地还原了阿尔茨海默症（以下简称认知症）老人自身在困惑里打转的种种症状，要知道现实里这是更难以掌控的“漫长事件”。 当你观看中能够感受到第一视角里很多跳来跳去的场景变化无法连贯时。这正是认知症患者在经历的那种无助，请...

                         "
5,黑龙江省,"

                        今天聊一部正在热映的院线片——《困在时间里的父亲》。 在最近一届奥斯卡上，这部电影提名了包括最佳影片、最佳男主、最佳女配、最佳改编剧本、最佳剪辑、最佳艺术指导在内的6大奖项。 最终，84岁的老戏骨安东尼奥·霍普金斯凭借该片第二次斩获影帝桂冠。 毫无疑问，霍普金斯...

                         "
6,黑龙江省,"

                        我的姥姥就是电影中的爸爸安东尼。而我的妈妈、舅舅就是电影中的女儿。 这么多年来自从姥爷去世，姥姥病症突发。每况愈下。 保姆换了一个又一个，没有一个满意，因为她坚决认为他们偷了她的东西。 妈妈和舅舅天天陪着中午吃午饭、晚上一起睡觉，但是姥姥并不记得他们是否来过。...

                         "
7,山西省,"

                        接近片尾，看着头发银白，颤颤巍巍的霍普金斯思忖片刻，自言自语到“安东尼，这名字不错”时，一时分不清戏里戏外，眼泪差点决堤…… 思绪顺着藤蔓回转，蔓延到还在用vcd看电影的童年。 他是我初入电影世界为数不多记住的名字： 他是，能驾驭各种角色的演员： 他是《沉默的羔羊...

                         "
8,湖北省,"作者：一双羊 “我的树叶都快凋零了。”——安东尼，父亲 记忆衰退，认知混乱，阿兹海默症患者的脑海里，世界是怎样的？ 《困在时间里的父亲》就从近乎第一视角，给观众来了次「沉浸式」体验。 本片作为法国导演佛罗莱恩·泽勒的处女长片，在影迷向的IMDb和豆瓣分别收获了8.3和...

                         "
9,山东省,"“安东尼，这名字不错。”当《困在时间里的父亲》（The Father）的最后，83岁的英国老戏骨安东尼·霍普金斯喃喃念出这句台词的时候，身为观众的我们已经很难分清戏中人与戏外人了。 40岁的法国剧作家弗洛里安·泽勒在构想将自己的舞台代表作改编为电影的时候，脑海中浮现的演员...

                         "
